Código Mantenedora,Razão Social,CNPJ,Natureza Jurídica,Código IES,Instituição(IES),Sigla,Endereço,Município,UF,Organização Acadêmica,Tipo de Credenciamento,Categoria,Categoria Administrativa,CI,Ano CI,CI-EaD,Ano CI-EaD,IGC,Ano IGC,Situação
1977,CETHEL - CENTRO DE EDUCACAO TEOLOGICA E HUMANISTICA LOGOS,05.246.011/0001-70,Privada sem fins lucrativos,3051,FACULDADE TEOLÓGICA DE CIÊNCIAS HUMANAS E SOCIAIS LOGOS (FAETEL),FAETEL,Rua Padre Adelino - 700 - CEP: 03303-000 - Belenzinho,São Paulo,SP,Faculdade,EAD - Superior / Presencial - Superior,Privada,Privada sem fins lucrativos,3,2019,-,,3,2017,Ativa
15979,CENTRO DE ENSINO SUPERIOR E TECNICO SILVA E FONSECA LTDA - EPP,14.064.504/0001-80,Privada com fins lucrativos,18304,FACULDADE TEOLOGICA SÃO PAULO (FATESP),FATESP,Rua Cleto Barroso - 1027 - CEP: 69400-476 - Aparecida,Manacapuru,AM,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2015,-,,-,,Ativa
1673,ASSOCIACAO CRISTA EVANGELICA SUL AMERICANA,86.873.668/0001-69,Privada sem fins lucrativos,2573,FACULDADE TEOLÓGICA SUL AMERICANA (FTSA),FTSA,Rua Martinho Lutero - 277 - CEP: 86055-670 - Gleba Palhano,Londrina,PR,Faculdade,EAD - Superior / Presencial - Superior,Privada,Privada sem fins lucrativos,3,2010,5,2010,3,2017,Ativa
16635,CENTRO DE EDUCACAO TERRA BRASILIS LTDA - ME,24.365.178/0001-02,Privada com fins lucrativos,21636,FACULDADE TERRA BRASILIS,-,ROD MT 422 ESCOLA AGRÍCOLA - 00 - CEP: 78665-000 - ZONA RURAL,Alto Boa Vista,MT,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2018,-,,-,,Ativa
1808,SOCIEDADE UNIVERSITARIA DE DESENVOLVIMENTO PROFISSIONALIZANTE S/S - SUDEP FATENE,04.676.403/0001-06,Privada com fins lucrativos,4367,FACULDADE TERRA NORDESTE (FATENE),FATENE,Rua Coronel Correia - 1119 - CEP: 61603-005 - Parque Soledade,Caucaia,CE,Faculdade,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,4,2013,4,2018,3,2017,Ativa
17046,CENTRO DE EDUCACAO E CULTURA THIAGO FERREIRA LTDA - EPP,29.079.105/0001-60,Privada com fins lucrativos,19358,Faculdade Thiago Ferreira (FAT),FAT,Avenida Conde de Áurea Gonzales - 245 - CEP: 11454-540 - Vila Áurea (Vicente de Carvalho),Guarujá,SP,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2015,-,,-,,Ativa
274,SOCIEDADE DE EDUCACAO TIRADENTES LTDA,13.013.263/0001-87,Privada com fins lucrativos,20219,FACULDADE TIRADENTES DE FEIRA DE SANTANA (FITS),FITS,Rua Doutor Sabino Silva - 32 - CEP: 44001-224 - Centro,Feira de Santana,BA,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2015,-,,-,,Ativa
274,SOCIEDADE DE EDUCACAO TIRADENTES LTDA,13.013.263/0001-87,Privada com fins lucrativos,22514,FACULDADE TIRADENTES DE JABOATÃO DOS GUARARAPES,-,Avenida General Barreto de Menezes - 738 - CEP: 54330-000 - Cajueiro Seco - Piedade,Jaboatão dos Guararapes,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,-,,-,,-,,Ativa
16736,FACULDADE DE ENSINO GUARULHENSE SS LTDA,25.988.756/0001-11,Privada com fins lucrativos,21822,FACULDADE TORRICELLI (FT),FT,Rua do Rosário - 313 - CEP: 07111-080 - Vila Camargos,Guarulhos,SP,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2017,-,,-,,Ativa
209,SOCIEDADE EDUCACIONAL TRES DE MAIO,98.039.852/0001-97,Privada sem fins lucrativos,294,FACULDADE TRÊS DE MAIO (SETREM),SETREM,Avenda Santa Rosa - 2.405 - CEP: 98910-000 - Centro,Três de Maio,RS,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,3,2011,-,,3,2017,Ativa
15631,CENTRO EDUCACIONAL TRES MARIAS - LTDA,14.255.311/0001-06,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,17115,FACULDADE TRÊS MARIAS (FTM),FTM,Rua Vereador Alberto Falcão Barroca - 210 - CEP: 58032-070 - Miramar,João Pessoa,PB,Faculdade,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,3,2014,4,2018,-,,Ativa
2124,FUNDACAO DE ENSINO E PESQUISA DO SUL DE MINAS,21.420.856/0001-96,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,14165,FACULDADE TRÊS PONTAS (FATEP),FATEP,Praça D'Aparecida - 57 - CEP: 37190-000 - Centro,Três Pontas,MG,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,4,2018,-,,4,2017,Ativa
16308,ASSOCIACAO KEPPE E PACHECO,02.620.253/0001-93,Privada sem fins lucrativos,20636,Faculdade Trilógica Keppe & Pacheco (Keppe & Pacheco),Keppe & Pacheco,Avenida Nossa Senhora Aparecida - 59 - CEP: 37420-000 - Centro,Cambuquira,MG,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2016,-,,-,,Ativa
15602,INSTITUTO PATER DE EDUCACAO E CULTURA,21.289.889/0001-49,Pessoa Jurídica de Direito Privado - Sem fins lucrativos - Fundação,3430,"Faculdade Uberlandense de Núcleos Integrados de Ensino, Serviço Social e Aprendizagem (FAESSA)",FAESSA,Rua Bocaiúva - 82 - CEP: 38411-126 - Morada da Colina,Uberlândia,MG,Faculdade,EAD - Superior / Presencial - Superior,Privada,Privada sem fins lucrativos,3,2011,4,2018,3,2017,Ativa
1817,UNIAO DE DOCENTES DO BRASIL LTDA,04.916.401/0001-47,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,2793,FACULDADE UBS (FACULDADE UBS),FACULDADE UBS,Avenida Conde de Frontin - 1154 - CEP: 03501-000 - Chácara Califórnia,São Paulo,SP,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2016,-,,3,2017,Ativa
902,SOCIEDADE DE EDUCACAO SUPERIOR E CULTURA - SOCIESC S.A.,84.684.182/0001-57,Privada com fins lucrativos,14028,Faculdade UNA de Betim (UNA),UNA,Avenida Governador Valadares - 640 - CEP: 32600-216 - Centro,Betim,MG,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,5,2018,-,,4,2017,Ativa
2095,SOCIEDADE CATALANA DE EDUCACAO S/C LTDA - EPP,05.373.130/0001-93,Privada com fins lucrativos,18474,FACULDADE UNA DE CATALÃO (UNA),UNA,Rua Ademar Ferrugem - 840 - CEP: 75701-665 - Santo Antônio,Catalão,GO,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2015,-,,-,,Ativa
902,SOCIEDADE DE EDUCACAO SUPERIOR E CULTURA - SOCIESC S.A.,84.684.182/0001-57,Privada com fins lucrativos,4766,FACULDADE UNA DE CONTAGEM (FUNAC),FUNAC,Avenida João César de Oliveira - 5775 - CEP: 32040-000 - Beatriz,Contagem,MG,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2019,-,,4,2017,Ativa
902,SOCIEDADE DE EDUCACAO SUPERIOR E CULTURA - SOCIESC S.A.,84.684.182/0001-57,Privada com fins lucrativos,19257,Faculdade Una de Divinópolis (Una Divinopolis),Una Divinopolis,Rua Coronel João Notini - 151 - CEP: 35500-017 - Centro,Divinópolis,MG,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2016,-,,-,,Ativa
1117,FACEB EDUCACAO LTDA,03.099.921/0001-41,Privada com fins lucrativos,21931,Faculdade Una de Jataí (Una),Una,Avenida José de Carvalho - s/n - CEP: 75805-132 - Setor Epaminondas II,Jataí,GO,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2018,-,,-,,Ativa
902,SOCIEDADE DE EDUCACAO SUPERIOR E CULTURA - SOCIESC S.A.,84.684.182/0001-57,Privada com fins lucrativos,21415,FACULDADE UNA DE NOVA SERRANA (UNA),UNA,BR 262 - Km 448 - s/n - CEP: 35519-000 - Anexo ao Distrito Industrial José Silva de Almeida,Nova Serrana,MG,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2016,-,,-,,Ativa
902,SOCIEDADE DE EDUCACAO SUPERIOR E CULTURA - SOCIESC S.A.,84.684.182/0001-57,Privada com fins lucrativos,19865,Faculdade Una de Pouso Alegre (Una PousoAlegre),Una PousoAlegre,Rua João Basílio - 420 - CEP: 37550-000 - Centro,Pouso Alegre,MG,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2016,-,,-,,Ativa
902,SOCIEDADE DE EDUCACAO SUPERIOR E CULTURA - SOCIESC S.A.,84.684.182/0001-57,Privada com fins lucrativos,18454,Faculdade Una de Sete Lagoas (Unaset),Unaset,Avenida Secretário Divino Padrão - 1.411 - CEP: 35702-075 - Santo Antônio,Sete Lagoas,MG,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2015,-,,-,,Ativa
1049,INSTITUTO POLITECNICO DE ENSINO LTDA.,03.387.092/0001-00,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,1598,FACULDADE UNA DE UBERLÂNDIA (UNA),UNA,Alameda Paulina Margonari - 59 - CEP: 38411-206 - Jardim Karaíba,Uberlândia,MG,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,5,2018,-,,3,2017,Ativa
3272,FACULDADE UNIAO ARARUAMA DE ENSINO S/S LTDA. - ME,08.407.671/0001-83,Privada com fins lucrativos,10836,FACULDADE UNIÃO ARARUAMA DE ENSINO S/S Ltda. (FAC-UNILAGOS),FAC-UNILAGOS,Rua Marechal Castelo Branco - 333 - CEP: 28970-000 - Rio do Limão,Araruama,RJ,Faculdade,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,3,2015,4,2018,4,2017,Ativa
16452,ANHANGUERA EDUCACIONAL PARTICIPACOES S/A,04.310.392/0001-46,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,2324,FACULDADE UNIÃO BANDEIRANTE,-,Rua Luiz Fagundes - 1.680 - CEP: 88106-000 - Picadas do Sul,São José,SC,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2017,-,,3,2017,Ativa
1488,UNIAO CULTURAL E EDUCACIONAL DE ANGELES,04.306.850/0001-73,Privada sem fins lucrativos,2289,FACULDADE UNIÃO CULTURAL DO ESTADO DE SÃO PAULO (UCESP),UCESP,Avenida da Saudade - 757 - CEP: 16020-070 - Vila Estádio,Araçatuba,SP,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,3,2018,-,,2,2017,Ativa
3529,INSTITUTO MAKRO UNIAO POS-GRADUACAO E EXTENSAO LTDA,09.221.952/0001-00,Privada com fins lucrativos,12766,FACULDADE UNIÃO DE CAMPO MOURÃO,-,Via Marginal Rosalina Maria dos Santos - 927 - CEP: 87301-899 - Área Urbanizada I,Campo Mourão,PR,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2016,-,,3,2017,Ativa
2510,CENTRO DE ESTUDOS OCTAVIO DIAS DE OLIVEIRA,06.152.582/0001-08,Privada com fins lucrativos,3987,FACULDADE UNIÃO DE GOYAZES (FUG),FUG,Rodovia Go-060 Km 19 - 3.184 - CEP: 75380-000 - Setor Laguna Parque,Trindade,GO,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2011,-,,3,2017,Ativa
2961,UNIAO BRASILEIRA DE FACULDADES - UNIBF,07.481.324/0001-38,Privada com fins lucrativos,4661,FACULDADE UNIBF,-,Rua Olavo Bilac - 78 - CEP: 87780-000 - Centro,Paraíso do Norte,PR,Faculdade,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,3,2014,4,2018,3,2017,Ativa
15992,UNICA EDUCACIONAL LTDA,03.939.757/0001-33,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,14161,Faculdade Única de Contagem (FUNIC),FUNIC,Rua Professor Sigefredo Marques - 341 - CEP: 32017-590 - Estância do Hibisco,Contagem,MG,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,4,2017,-,,3,2017,Ativa
15992,UNICA EDUCACIONAL LTDA,03.939.757/0001-33,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,15450,Faculdade Única de Ipatinga (FUNIP),FUNIP,Rua Salermo - 299 - CEP: 35164-779 - Bethânia,Ipatinga,MG,Faculdade,EAD - Superior / Presencial - Superior,Privada,Privada sem fins lucrativos,3,2011,4,2017,3,2017,Ativa
17342,FACULDADE UNICA LTDA,32.495.498/0001-05,Privada com fins lucrativos,14242,FACULDADE ÚNICA DE TIMÓTEO (FUNIT),FUNIT,Avenida Ari Barroso - 765 - CEP: 35180-442 - Serenata,Timóteo,MG,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2017,-,,3,2017,Ativa
15445,DINAMICA ASSESSORIA E GESTAO EMPRESARIAL LTDA - ME,13.270.511/0001-75,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Mercantil ou Comercial,2770,FACULDADE UNIDA DE CAMPINAS (FACUNICAMPS),FACUNICAMPS,Rua 210 - 386 - CEP: 74535-280 - Setor Coimbra,Goiânia,GO,Faculdade,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,3,2011,-,,4,2017,Ativa
15954,DINAMICA ADMINISTRACAO CONSULTORIA & GESTAO S/S LTDA,17.063.352/0001-99,Privada com fins lucrativos,18133,Faculdade Unida de Campinas Goiânia - FACUNICAMPS GOIÂNIA (FACUNICAMPS),FACUNICAMPS,"Rua 234, 371 - - CEP: 74535-040 - Setor Coimbra",Goiânia,GO,Faculdade,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,3,2014,5,2018,-,,Ativa
1724,CEE-CENTRO DE ESTUDOS ESPECIALIZADOS,03.962.607/0001-40,Privada com fins lucrativos,2652,FACULDADE UNIDA DE VITÓRIA (FACULDADE UNIDA),FACULDADE UNIDA,Rua Engenheiro Fábio Ruschi - 161 - CEP: 29050-670 - Bento Ferreira,Vitória,ES,Faculdade,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,3,2014,4,2014,4,2017,Ativa
225,CENTRO DE ENSINO TATUIENSE SOCIEDADE SIMPLES LTDA.,72.195.779/0001-59,Privada com fins lucrativos,321,FACULDADE UNIDAS DE TATUI (FDT),FDT,Rua Oracy Gomes - 665 - CEP: 18270-600 - Centro,Tatuí,SP,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,-,,-,,SC,2011,Ativa
16335,COLACO MARTINS EDUCACIONAL EIRELI,20.263.328/0001-08,Privada com fins lucrativos,19859,FACULDADE UNIFAMETRO CASCAVEL,-,AC Cascavel - 2667 - CEP: 62850-970 - Centro,Cascavel,CE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2015,-,,-,,Ativa
1297,EMPREENDIMENTO EDUCACIONAL MARACANAU LTDA.,03.884.793/0001-47,Privada com fins lucrativos,19337,FACULDADE UNIFAMETRO MARACANAÚ,-,Rodovia Senador Almir Pinto - CE 065 - 8885 - CEP: 61915-000 - Jaçanaú,Maracanaú,CE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,-,,-,,-,,Ativa
13511,NUCLEO EDUCACIONAL RENIL DO BRASIL LTDA - ME,05.352.536/0001-90,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,18258,FACULDADE UNIFICADA DO ESTADO DE SÃO PAULO (FAUESP),FAUESP,Rua Luís Lacava - 239 - CEP: 09310-080 - Vila Bocaina,Mauá,SP,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2014,-,,-,,Ativa
2332,FUNDACAO DE ENSINO SUPERIOR DE MANGUEIRINHA - FESMAN,05.428.075/0001-91,Privada sem fins lucrativos,17165,FACULDADE UNILAGOS (UNILAGOS),UNILAGOS,Rua Saldanha Marinho - 85 - CEP: 85540-000 - Centro,Mangueirinha,PR,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,3,2016,-,,3,2017,Ativa
16360,FUNDACAO UNIMED,00.636.771/0001-70,Privada sem fins lucrativos,20053,FACULDADE UNIMED,-,Avenida Flávio dos Santos - 355 - CEP: 31015-150 - Floresta,Belo Horizonte,MG,Faculdade,EAD - Superior / Presencial - Superior,Privada,Privada sem fins lucrativos,4,2015,5,2018,-,,Ativa
1029,UNIME - UNIAO METROPOLITANA PARA O DESENVOLVIMENTO DA EDUCACAO E CULTURA LTDA.,02.959.800/0001-60,Privada com fins lucrativos,2037,FACULDADE UNIME DE CIÊNCIAS EXATAS E TECNOLÓGICAS (FCT),FCT,Avenida Luiz Tarquínio Pontes - 600 - CEP: 42702-420 - Centro,Lauro de Freitas,BA,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2010,-,,4,2017,Ativa
1029,UNIME - UNIAO METROPOLITANA PARA O DESENVOLVIMENTO DA EDUCACAO E CULTURA LTDA.,02.959.800/0001-60,Privada com fins lucrativos,1565,FACULDADE UNIME DE CIÊNCIAS JURÍDICAS (FCJ),FCJ,Avenida Avenida Luiz Tarquínio Pontes - 600 - CEP: 42702-420 - Centro,Lauro de Freitas,BA,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2017,-,,2,2017,Ativa
1029,UNIME - UNIAO METROPOLITANA PARA O DESENVOLVIMENTO DA EDUCACAO E CULTURA LTDA.,02.959.800/0001-60,Privada com fins lucrativos,1571,FACULDADE UNIME DE CIÊNCIAS SOCIAIS (FCS),FCS,Avenida Avenida Luiz Tarquínio Pontes - 600 - CEP: 42702-420 - Centro,Lauro de Freitas,BA,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2018,-,,3,2017,Ativa
1029,UNIME - UNIAO METROPOLITANA PARA O DESENVOLVIMENTO DA EDUCACAO E CULTURA LTDA.,02.959.800/0001-60,Privada com fins lucrativos,1644,FACULDADE UNIME DE EDUCAÇÃO E COMUNICAÇÃO (FEC),FEC,Avenida Luiz Tarquinio Pontes - 600 - CEP: 42700-000 - Centro,Lauro de Freitas,BA,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2018,-,,3,2017,Ativa
1847,SER EDUCACIONAL S.A.,04.986.320/0001-13,Privada com fins lucrativos,19332,FACULDADE UNINABUCO BELÉM (NABUCO BELÉM),NABUCO BELÉM,Rodovia Augusto Montenegro - 650 - CEP: 66820-000 - Tenoné,Belém,PA,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2017,-,,-,,Ativa
1847,SER EDUCACIONAL S.A.,04.986.320/0001-13,Privada com fins lucrativos,19329,FACULDADE UNINABUCO JOÃO PESSOA,-,Rua Agente Fiscal Amadeu de Castro - 313 - CEP: 58036-446 - Aeroclube,João Pessoa,PB,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2015,-,,-,,Ativa
1847,SER EDUCACIONAL S.A.,04.986.320/0001-13,Privada com fins lucrativos,19331,FACULDADE UNINABUCO MACEIÓ,-,Rua Doutor Cláudio Lívio - 83 - CEP: 57055-180 - Farol,Maceió,AL,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2015,-,,-,,Ativa
1847,SER EDUCACIONAL S.A.,04.986.320/0001-13,Privada com fins lucrativos,19342,FACULDADE UNINABUCO MANAUS (NABUCO MANAUS),NABUCO MANAUS,Rua Tapajós - 200 - CEP: 69010-150 - Centro,Manaus,AM,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2016,-,,-,,Ativa
1847,SER EDUCACIONAL S.A.,04.986.320/0001-13,Privada com fins lucrativos,19345,FACULDADE UNINABUCO NATAL,-,Rua Marcílio Furtado - 2422 - CEP: 59063-360 - Lagoa Nova,Natal,RN,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2016,-,,-,,Ativa
1847,SER EDUCACIONAL S.A.,04.986.320/0001-13,Privada com fins lucrativos,21421,FACULDADE UNINABUCO SALVADOR (NABUCO SALVADOR),NABUCO SALVADOR,Avenida Sete de Setembro - 1105 - CEP: 40060-000 - Dois de Julho,Salvador,BA,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2017,-,,-,,Ativa
2874,ASSOCIACAO DE ENSINO SUPERIOR ANGLO LIDER - AESAL,07.508.313/0001-02,Privada sem fins lucrativos,10588,FACULDADE UNINABUCO SÃO LOURENÇO DA MATA,-,Av. Almirante Tamandaré - 100 - CEP: 54735-420 - Centro,São Lourenço da Mata,PE,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,3,2017,-,,3,2017,Ativa
2637,CIESPI-CENTRO INTEGRADO DE EDUCACAO SUPERIOR DO PIAUI LTDA,07.228.846/0001-22,Privada com fins lucrativos,4197,FACULDADE UNINASSAU ALIANÇA,-,Rua São Pedro - 965 - CEP: 64001-260 - Centro,Teresina,PI,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2019,-,,3,2017,Ativa
1847,SER EDUCACIONAL S.A.,04.986.320/0001-13,Privada com fins lucrativos,18642,Faculdade Uninassau Ananindeua (NASSAU ANANINDEUA),NASSAU ANANINDEUA,Travessa We-31 - 55 - CEP: 67133-102 - Cidade Nova,Ananindeua,PA,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2015,-,,-,,Ativa
2587,SOCIEDADE DE ENSINO SUPERIOR E DE PESQUISA DE SERGIPE LTDA - SESPS,06.787.789/0001-59,Privada sem fins lucrativos,4121,FACULDADE UNINASSAU ARACAJU,-,Rua de Riachuelo - 1071 - CEP: 49015-160 - São José,Aracaju,SE,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,5,2019,5,2018,3,2017,Ativa
1847,SER EDUCACIONAL S.A.,04.986.320/0001-13,Privada com fins lucrativos,18648,Faculdade Uninassau Arapiraca,-,Rua Dom Felício Vasconcelos - 320 - CEP: 57300-580 - Centro,Arapiraca,AL,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2015,-,,-,,Ativa
13006,UNIVERSO PROFESSORES ASSOCIADOS S/S LTDA - ME,10.625.332/0001-15,Privada com fins lucrativos,13982,FACULDADE UNINASSAU BELÉM,-,Travessa Quintino Bocaiúva - 1808 - CEP: 66035-190 - Nazaré,Belém,PA,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2017,-,,3,2017,Ativa
1847,SER EDUCACIONAL S.A.,04.986.320/0001-13,Privada com fins lucrativos,18211,FACULDADE UNINASSAU CABO,-,Avenida Historiador Pereira da Costa - 473 - CEP: 54510-360 - Centro,Cabo de Santo Agostinho,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2014,-,,-,,Ativa
1847,SER EDUCACIONAL S.A.,04.986.320/0001-13,Privada com fins lucrativos,14717,FACULDADE UNINASSAU CARUARU,-,Entroncamento da Rodovia BR-232 com a BR 104 - 1215 - CEP: 55034-640 - Agamenom Magalhães,Caruaru,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2016,-,,3,2017,Ativa
1847,SER EDUCACIONAL S.A.,04.986.320/0001-13,Privada com fins lucrativos,17816,FACULDADE UNINASSAU FEIRA DE SANTANA,-,Avenida Senhor dos Passos - 242 - CEP: 44001-800 - Centro,Feira de Santana,BA,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2014,-,,-,,Ativa
1847,SER EDUCACIONAL S.A.,04.986.320/0001-13,Privada com fins lucrativos,14321,FACULDADE UNINASSAU FORTALEZA,-,Avenida Visconde do Rio Branco - 2078 - CEP: 60055-171 - Joaquim Távora,Fortaleza,CE,Faculdade,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,5,2019,-,,3,2017,Ativa
15562,SOCIEDADE UNIVERSITARIA MILETO LTDA - EPP,12.213.159/0001-73,Pessoa Jurídica de Direito Privado - Com fins lucrativos - Sociedade Civil,17622,Faculdade Uninassau Fortaleza Savanah (Nassau Savanah),Nassau Savanah,Rua Antônio Gentil Gomes - 408 - CEP: 60822-235 - Cambeba,Fortaleza,CE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2013,-,,-,,Ativa
1847,SER EDUCACIONAL S.A.,04.986.320/0001-13,Privada com fins lucrativos,18653,Faculdade Uninassau Garanhuns (Nassau Garanhuns),Nassau Garanhuns,Praça da Bandeira - 53 - CEP: 55297-210 - São José,Garanhuns,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2015,-,,-,,Ativa
1847,SER EDUCACIONAL S.A.,04.986.320/0001-13,Privada com fins lucrativos,18075,FACULDADE UNINASSAU JABOATÃO DOS GUARARAPES (UNINASSAU),UNINASSAU,Rua 101 - 15 - CEP: 54325-650 - Guararapes,Jaboatão dos Guararapes,PE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2014,-,,-,,Ativa
2405,CENESUP - CENTRO NACIONAL DE ENSINO SUPERIOR LTDA,05.474.470/0001-00,Privada sem fins lucrativos,3817,FACULDADE UNINASSAU JOÃO PESSOA,-,Avenida Presidente Epitácio Pessoa - 67 - CEP: 58030-000 - Estados,João Pessoa,PB,Faculdade,Presencial - Superior,Privada,Privada sem fins lucrativos,4,2018,-,,3,2017,Ativa
1847,SER EDUCACIONAL S.A.,04.986.320/0001-13,Privada com fins lucrativos,18652,FACULDADE UNINASSAU JUAZEIRO DO NORTE,-,Rua Nossa Senhora do Carmo - s/n - CEP: 63020-180 - Franciscano,Juazeiro do Norte,CE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2015,-,,-,,Ativa
1258,CETEBA - CENTRO DE ENSINO E TECNOLOGIA DA BAHIA LTDA,04.073.841/0001-80,Privada com fins lucrativos,1910,FACULDADE UNINASSAU LAURO DE FREITAS,-,"Estrada do Coco Km 4,5 - S/N - CEP: 42700-000 - Centro",Lauro de Freitas,BA,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2017,-,,3,2017,Ativa
1847,SER EDUCACIONAL S.A.,04.986.320/0001-13,Privada com fins lucrativos,4135,FACULDADE UNINASSAU MANAUS,-,Avenida Djalma Batista - 377 - CEP: 69053-000 - Nossa Senhora das Graças (Chapada),Manaus,AM,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2015,-,,-,,Ativa
1847,SER EDUCACIONAL S.A.,04.986.320/0001-13,Privada com fins lucrativos,18643,FACULDADE UNINASSAU MARACANAÚ,-,Rua Senador Petronio Portela - 125 - CEP: 61930-130 - Pajuçara,Maracanaú,CE,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,4,2015,-,,-,,Ativa
1847,SER EDUCACIONAL S.A.,04.986.320/0001-13,Privada com fins lucrativos,18649,FACULDADE UNINASSAU MOSSORÓ,-,Rua Marechal Floriano - 39 - CEP: 59618-080 - Paredões,Mossoró,RN,Faculdade,Presencial - Superior,Privada,Privada com fins lucrativos,3,2016,-,,-,,Ativa
2425,SOCIEDADE EDUCACIONAL CARVALHO GOMES LTDA,06.083.327/0001-50,Privada com fins lucrativos,3853,FACULDADE UNINASSAU NATAL,-,Av Avenida Engenheiro Roberto Freire - 1.514 - CEP: 59082-095 - Capim Macio,Natal,RN,Faculdade,EAD - Superior / Presencial - Superior,Privada,Privada com fins lucrativos,4,2017,4,2018,3,2017,Ativa
